TeacherNumber,TeacherAssessmentNumber,SchoolName,ClassNumber,Grade,ObservationRound,Status,Date,TeacherAssessmentQuestionKey,Q1Rating,Q2Rating,Q3Rating,Q4Rating,Q5Rating,Q6Rating,Q7Rating,Q8Rating,Q9Rating,Q10Rating,Q11Rating,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11
Teacher-02630,Teacher Assessment-00758,2,Class-022195,3,Round 1,Control,8/11/18,Ghana Teacher Observation Question Key est 2018,4,3,2,3,3,3,4,3,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02633,Teacher Assessment-01035,2,Class-022200,6,Round 2,Control,18/2/19,Ghana Teacher Observation Question Key est 2018,1,3,2,1,2,2,2,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02633,Teacher Assessment-00757,2,Class-022200,6,Round 1,Control,8/11/18,Ghana Teacher Observation Question Key est 2018,3,3,2,3,2,3,3,3,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00171,Teacher Assessment-01062,3,Class-022536,2,Round 1,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,3,3,3,3,3,3,3,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00171,Teacher Assessment-00800,3,Class-022536,2,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,3,2,2,3,3,3,3,3,3,4,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00227,Teacher Assessment-00799,3,Class-022537,3,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,3,2,3,2,2,3,3,2,2,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02439,Teacher Assessment-00796,3,Class-022535,1,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,3,2,2,4,3,3,3,2,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02440,Teacher Assessment-00797,3,Class-022538,4,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,3,2,2,3,3,2,3,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02442,Teacher Assessment-01096,3,Class-022539,5,Round 1,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,3,3,3,3,3,3,3,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02442,Teacher Assessment-00801,3,Class-022539,5,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,2,2,2,3,3,4,2,2,2,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02443,Teacher Assessment-01097,3,Class-022540,6,Round 1,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,3,3,3,3,3,3,4,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02443,Teacher Assessment-01061,3,Class-022540,6,Round 1,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,2,1,3,3,2,2,3,3,3,3,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02443,Teacher Assessment-00798,3,Class-022540,6,Round 1,Treatment,26/11/18,Ghana Teacher Observation Question Key est 2018,3,2,3,3,3,3,2,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02757,Teacher Assessment-01060,3,Class-022538,4,Round 1,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,3,3,3,4,4,4,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-00825,Teacher Assessment-01037,4,Class-022602,2,Round 2,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,2,3,3,3,2,4,3,3,4,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02045,Teacher Assessment-01039,4,Class-022603,3,Round 2,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,2,2,2,3,2,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02045,Teacher Assessment-00747,4,Class-022603,3,Round 1,Treatment,14/11/18,Ghana Teacher Observation Question Key est 2018,3,3,2,2,3,3,3,2,3,2,2,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02046,Teacher Assessment-01036,4,Class-022604,4,Round 2,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,2,2,3,3,3,4,3,4,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02046,Teacher Assessment-00791,4,Class-022604,4,Round 1,Treatment,15/11/18,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,3,4,2,2,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02059,Teacher Assessment-01038,4,Class-022601,1,Round 2,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,4,4,3,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02059,Teacher Assessment-00746,4,Class-022601,1,Round 1,Treatment,14/11/18,Ghana Teacher Observation Question Key est 2018,3,3,2,3,3,3,3,2,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
Teacher-02084,Teacher Assessment-01040,4,Class-022605,5,Round 2,Treatment,26/2/19,Ghana Teacher Observation Question Key est 2018,2,2,2,2,2,2,2,2,3,2,3,To what level are interactions in the classroom positive and productive? To what level are all student groups respected and valued in the classroom?,To what level does the classroom environment support the lesson?,How well does the teacher manage and use PoP resources and material?,To what level do students exhibit a learning energy during the lesson that supports engagement?,To what level is the classroom culture and routine maximizing instructional time? To what level does the teacher use developmentally appropriate procedures?,To what level are student behavior expectations consistently monitored and reinforced?,"To what levels are directions clearly delivered and understandable? To what level is content communicated in a clear, concise manner?",To what level are questions considered quality? To what level do all students have an opportunity to answer questions?,To what level are students engaging in the lesson activities?,To what level does the teacher determine the understanding and needs of each student during the lesson? To what level are students aware of how they will demonstrate understanding of the lesson?,To what level does the teacher modify instruction within the lesson?
